figure,dataset_index_paper,dataset,batch_size,floor,paper_improvement,point_color,source
10,1,Long,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,2,cmc,10,0.2,0.05422282221722691,positive,arXiv:2212.09900 Figure 10 vector PDF
10,5,allrep,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,10,0.2,0.002134807177198994,positive,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,10,0.2,0.005065432782779489,positive,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,29,eeg-eye-state,10,0.2,0.0026900816334138322,positive,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,10,0.2,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
