figure,T,method,beta,paper_mean,paper_se,source,scenario,decay
5,500,greedy,0.0,1.5138415261889708,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,greedy,0.0,1.562242014037321,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,greedy,0.0,1.6246634924644447,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,greedy,0.0,1.6918521065397516,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,0.1,1.7861853866311277,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,0.1,1.7929154655547395,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,0.1,1.798692120220215,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,0.1,1.8378948335396292,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,0.2,1.7910646974401216,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,0.2,1.7922424576623786,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,0.2,1.7992529529517656,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,0.2,1.839745601654247,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,0.5,1.8030105839401576,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,0.5,1.7874753220141955,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,0.5,1.799421208514231,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,0.5,1.8422132972595713,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,1.0,1.8061512874378427,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,1.0,1.7940932257769964,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,1.0,1.799813800040817,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,1.0,1.8391847545651951,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,5.0,1.8023936564494507,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,5.0,1.799813800040817,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,5.0,1.8104697511577852,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,5.0,1.8422132972595713,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,pess,10.0,1.819387109320946,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,pess,10.0,1.8082824862757376,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,pess,10.0,1.8130496219239203,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,pess,10.0,1.840194273582488,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,0.0001,1.1920876732386727,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,0.0001,1.3133973494261504,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,lin,0.0001,1.3257358130952706,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,lin,0.0001,1.3315124677607462,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,0.001,1.1942188577190658,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,0.001,1.3131169187028737,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,lin,0.001,1.326745332112563,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,lin,0.001,1.3297738604494378,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,0.01,1.199266424090525,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,0.01,1.3154163587457326,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
