experiment,setting,setting_name,T,rep,method,action,reward_abs_mu,rescaled_subopt,correct
mab,1,Optimal,100,0,greedy,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_0.1,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_0.2,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_0.5,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_1,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_2,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_5,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_10,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,pess_15,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,clip_0.1,1,0.05,0.0,1
mab,1,Optimal,100,0,clip_0.2,1,0.05,0.0,1
mab,1,Optimal,100,0,clip_0.5,1,0.05,0.0,1
mab,1,Optimal,100,0,clip_1,1,0.05,0.0,1
mab,1,Optimal,100,0,clip_2,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,clip_5,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,clip_10,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,0,clip_15,4,-0.01,0.060000000000000005,0
mab,1,Optimal,100,1,greedy,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_0.1,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_0.2,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_0.5,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_1,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_2,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_5,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_10,2,0.01,0.04,0
mab,1,Optimal,100,1,pess_15,2,0.01,0.04,0
mab,1,Optimal,100,1,clip_0.1,1,0.05,0.0,1
mab,1,Optimal,100,1,clip_0.2,1,0.05,0.0,1
mab,1,Optimal,100,1,clip_0.5,1,0.05,0.0,1
mab,1,Optimal,100,1,clip_1,1,0.05,0.0,1
mab,1,Optimal,100,1,clip_2,2,0.01,0.04,0
