experiment,scenario,T,decay,rep,method,beta,value
tree,1,300,0.5,0,greedy,0.0,1.5176812744992476
tree,1,300,0.5,0,pess,0.0001,1.3865318029306928
tree,1,300,0.5,0,lin,0.0001,1.3853131598568256
tree,1,300,0.5,0,pess,0.001,1.9818870166220088
tree,1,300,0.5,0,lin,0.001,1.3853131598568256
tree,1,300,0.5,0,pess,0.01,1.969005064277524
tree,1,300,0.5,0,lin,0.01,1.3853131598568256
tree,1,300,0.5,0,pess,0.1,2.008949976596132
tree,1,300,0.5,0,lin,0.1,1.3853131598568256
tree,1,300,0.5,0,pess,0.2,2.0070611265967155
tree,1,300,0.5,0,lin,0.2,1.3853131598568256
tree,1,300,0.5,0,pess,0.5,2.0004805742849228
tree,1,300,0.5,0,lin,0.5,1.3853131598568256
tree,1,300,0.5,0,pess,1.0,2.0125520068911684
tree,1,300,0.5,0,lin,1.0,1.3853131598568256
tree,1,300,0.5,0,pess,5.0,1.9992084573875688
tree,1,300,0.5,0,lin,5.0,1.3853131598568256
tree,1,300,0.5,0,pess,10.0,1.9930079791002413
tree,1,300,0.5,0,lin,10.0,1.3853131598568256
tree,1,300,pure,0,greedy,0.0,1.9884100252252388
tree,1,300,pure,0,pess,0.0001,2.0052996152101903
tree,1,300,pure,0,lin,0.0001,1.322425391041971
tree,1,300,pure,0,pess,0.001,2.0025300037969225
tree,1,300,pure,0,lin,0.001,1.322425391041971
tree,1,300,pure,0,pess,0.01,2.002775300795858
tree,1,300,pure,0,lin,0.01,1.3246430550228248
tree,1,300,pure,0,pess,0.1,2.004629703595437
tree,1,300,pure,0,lin,0.1,1.3333512407786638
tree,1,300,pure,0,pess,0.2,2.0047737320609595
tree,1,300,pure,0,lin,0.2,1.344094620922513
tree,1,300,pure,0,pess,0.5,2.005038626304408
tree,1,300,pure,0,lin,0.5,1.344094620922513
tree,1,300,pure,0,pess,1.0,1.999598730112063
tree,1,300,pure,0,lin,1.0,1.344094620922513
tree,1,300,pure,0,pess,5.0,1.997084457610056
tree,1,300,pure,0,lin,5.0,1.344094620922513
tree,1,300,pure,0,pess,10.0,2.0052996152101903
tree,1,300,pure,0,lin,10.0,1.344094620922513
tree,1,600,0.5,0,greedy,0.0,1.775377775734312
tree,1,600,0.5,0,pess,0.0001,1.7406747207318205
tree,1,600,0.5,0,lin,0.0001,1.3031649470193238
tree,1,600,0.5,0,pess,0.001,1.8608366297657493
tree,1,600,0.5,0,lin,0.001,1.3031649470193238
tree,1,600,0.5,0,pess,0.01,1.9412877608177896
tree,1,600,0.5,0,lin,0.01,1.3031649470193238
tree,1,600,0.5,0,pess,0.1,1.8792337283803435
tree,1,600,0.5,0,lin,0.1,1.3031649470193238
tree,1,600,0.5,0,pess,0.2,1.9232931467659693
tree,1,600,0.5,0,lin,0.2,1.3031649470193238
tree,1,600,0.5,0,pess,0.5,1.9264634736023936
tree,1,600,0.5,0,lin,0.5,1.3031649470193238
tree,1,600,0.5,0,pess,1.0,1.936655218734784
tree,1,600,0.5,0,lin,1.0,1.3031649470193238
tree,1,600,0.5,0,pess,5.0,1.9423722877840983
tree,1,600,0.5,0,lin,5.0,1.3031649470193238
tree,1,600,0.5,0,pess,10.0,1.9276055452030585
tree,1,600,0.5,0,lin,10.0,1.3031649470193238
tree,1,600,pure,0,greedy,0.0,1.990968060664348
tree,1,600,pure,0,pess,0.0001,1.986039559492036
tree,1,600,pure,0,lin,0.0001,1.2987002874790683
tree,1,600,pure,0,pess,0.001,1.990968060664348
tree,1,600,pure,0,lin,0.001,1.2987002874790683
tree,1,600,pure,0,pess,0.01,1.9908289529813192
tree,1,600,pure,0,lin,0.01,1.2987002874790683
tree,1,600,pure,0,pess,0.1,1.990968060664348
tree,1,600,pure,0,lin,0.1,1.2987002874790683
