experiment,setting,T,batch_size,floor,rep,method,beta,value
ts_cv,2,300,10,0.2,0,greedy,0.0,1.5847145925074533
ts_cv,2,300,10,0.2,0,CV_pess,0.1,1.5542319002078548
ts_cv,2,300,10,0.5,0,greedy,0.0,1.5922673588290983
ts_cv,2,300,10,0.5,0,CV_pess,0.1,1.5095206296775725
ts_cv,2,300,10,0.8,0,greedy,0.0,1.4830217629537237
ts_cv,2,300,10,0.8,0,CV_pess,0.1,1.434763386529024
ts_cv,2,300,10,pure,0,greedy,0.0,1.8440965920025283
ts_cv,2,300,10,pure,0,CV_pess,0.2,1.824964049265476
ts_cv,2,600,10,0.2,0,greedy,0.0,1.6086420298844883
ts_cv,2,600,10,0.2,0,CV_pess,1.0,1.6060383622869
ts_cv,2,600,10,0.5,0,greedy,0.0,1.5410935952434524
ts_cv,2,600,10,0.5,0,CV_pess,0.2,1.7710766004859075
ts_cv,2,600,10,0.8,0,greedy,0.0,1.6359526086775809
ts_cv,2,600,10,0.8,0,CV_pess,0.1,1.8002720475727712
ts_cv,2,600,10,pure,0,greedy,0.0,1.6748017843410412
ts_cv,2,600,10,pure,0,CV_pess,0.1,1.75267531749664
