experiment,setting,T,batch_size,floor,rep,method,beta,value
ts,1,300,100,0.2,0,greedy,0.0,1.8091646130290335
ts,1,300,100,0.2,0,pess,0.1,2.0105487953761414
ts,1,300,100,0.2,0,pess,0.2,1.804557204913654
ts,1,300,100,0.2,0,pess,0.5,1.944290830732406
ts,1,300,100,0.2,0,pess,1.0,1.807292870395328
ts,1,300,100,0.2,0,pess,5.0,1.7893411641440655
ts,1,300,100,0.2,0,pess,10.0,1.8694413067482116
ts,1,300,100,0.5,0,greedy,0.0,1.896356485526823
ts,1,300,100,0.5,0,pess,0.1,1.946008209236826
ts,1,300,100,0.5,0,pess,0.2,1.9044855737630249
ts,1,300,100,0.5,0,pess,0.5,1.9274709308237
ts,1,300,100,0.5,0,pess,1.0,1.981041523858672
ts,1,300,100,0.5,0,pess,5.0,1.848140429918548
ts,1,300,100,0.5,0,pess,10.0,1.854863314561925
ts,1,300,100,0.8,0,greedy,0.0,1.9133692459040332
ts,1,300,100,0.8,0,pess,0.1,2.0034482017830078
ts,1,300,100,0.8,0,pess,0.2,1.9269384993899448
ts,1,300,100,0.8,0,pess,0.5,2.0514505239589
ts,1,300,100,0.8,0,pess,1.0,2.017017186878109
ts,1,300,100,0.8,0,pess,5.0,2.062189318864772
ts,1,300,100,0.8,0,pess,10.0,2.000946036735639
ts,1,300,100,pure,0,greedy,0.0,1.97884251165856
ts,1,300,100,pure,0,pess,0.1,2.0033566351359404
ts,1,300,100,pure,0,pess,0.2,1.8848196428231072
ts,1,300,100,pure,0,pess,0.5,1.9332272349606712
ts,1,300,100,pure,0,pess,1.0,2.0326114692532435
ts,1,300,100,pure,0,pess,5.0,1.8812955676093333
ts,1,300,100,pure,0,pess,10.0,1.8024746474062083
ts,1,300,10,0.2,0,greedy,0.0,1.6764304968331112
ts,1,300,10,0.2,0,pess,0.1,1.7669001800971895
ts,1,300,10,0.2,0,pess,0.2,1.7669001800971895
ts,1,300,10,0.2,0,pess,0.5,1.898706133296514
ts,1,300,10,0.2,0,pess,1.0,1.8660456505462035
ts,1,300,10,0.2,0,pess,5.0,1.9739871281501211
ts,1,300,10,0.2,0,pess,10.0,1.8056140255271684
ts,1,300,10,0.5,0,greedy,0.0,1.929543304645777
ts,1,300,10,0.5,0,pess,0.1,1.9449205646739696
ts,1,300,10,0.5,0,pess,0.2,2.004837685452449
ts,1,300,10,0.5,0,pess,0.5,2.014921790793407
ts,1,300,10,0.5,0,pess,1.0,2.0128357065032847
ts,1,300,10,0.5,0,pess,5.0,1.9637524928619896
ts,1,300,10,0.5,0,pess,10.0,1.9988534318823417
ts,1,300,10,0.8,0,greedy,0.0,1.9596671481891077
ts,1,300,10,0.8,0,pess,0.1,2.0593222524395443
ts,1,300,10,0.8,0,pess,0.2,2.0489560696539004
ts,1,300,10,0.8,0,pess,0.5,2.0121108636483345
ts,1,300,10,0.8,0,pess,1.0,1.994859132429737
ts,1,300,10,0.8,0,pess,5.0,1.939323176630248
ts,1,300,10,0.8,0,pess,10.0,1.862459130424095
ts,1,300,10,pure,0,greedy,0.0,1.8688313015825448
ts,1,300,10,pure,0,pess,0.1,1.9812392232362936
ts,1,300,10,pure,0,pess,0.2,1.9933722625463264
ts,1,300,10,pure,0,pess,0.5,1.9237954425817203
ts,1,300,10,pure,0,pess,1.0,1.9774572405373576
ts,1,300,10,pure,0,pess,5.0,1.952451497705264
ts,1,300,10,pure,0,pess,10.0,2.001556427393662
ts,1,600,100,0.2,0,greedy,0.0,1.6958560290838696
ts,1,600,100,0.2,0,pess,0.1,1.9298098632271417
ts,1,600,100,0.2,0,pess,0.2,1.787912508910855
ts,1,600,100,0.2,0,pess,0.5,1.885581961171432
ts,1,600,100,0.2,0,pess,1.0,1.7581396426000817
ts,1,600,100,0.2,0,pess,5.0,1.7835876336120755
ts,1,600,100,0.2,0,pess,10.0,1.726146086448585
ts,1,600,100,0.5,0,greedy,0.0,1.939337308257853
ts,1,600,100,0.5,0,pess,0.1,2.114860129667146
ts,1,600,100,0.5,0,pess,0.2,2.107973500048354
ts,1,600,100,0.5,0,pess,0.5,2.1337047484662603
ts,1,600,100,0.5,0,pess,1.0,2.1067553995482475
ts,1,600,100,0.5,0,pess,5.0,2.131285563403486
ts,1,600,100,0.5,0,pess,10.0,2.11942895938715
ts,1,600,100,0.8,0,greedy,0.0,2.041081128355768
ts,1,600,100,0.8,0,pess,0.1,2.1071187809237446
ts,1,600,100,0.8,0,pess,0.2,2.110576453067988
ts,1,600,100,0.8,0,pess,0.5,2.078129182468589
ts,1,600,100,0.8,0,pess,1.0,2.070626521872975
ts,1,600,100,0.8,0,pess,5.0,2.0905124221319205
ts,1,600,100,0.8,0,pess,10.0,2.097748414317527
ts,1,600,100,pure,0,greedy,0.0,2.0629754375271294
ts,1,600,100,pure,0,pess,0.1,2.0759759014728
ts,1,600,100,pure,0,pess,0.2,2.076634328272446
ts,1,600,100,pure,0,pess,0.5,2.0768028755121075
ts,1,600,100,pure,0,pess,1.0,2.078614875038832
ts,1,600,100,pure,0,pess,5.0,2.0978909759317417
ts,1,600,100,pure,0,pess,10.0,2.105470810023271
ts,1,600,10,0.2,0,greedy,0.0,1.56522837760735
ts,1,600,10,0.2,0,pess,0.1,1.8782130406251665
ts,1,600,10,0.2,0,pess,0.2,1.8924207766653756
ts,1,600,10,0.2,0,pess,0.5,1.928271948424864
ts,1,600,10,0.2,0,pess,1.0,1.921159440390126
ts,1,600,10,0.2,0,pess,5.0,1.7528467802055947
ts,1,600,10,0.2,0,pess,10.0,1.864096751932344
ts,1,600,10,0.5,0,greedy,0.0,1.8159621827137225
ts,1,600,10,0.5,0,pess,0.1,2.0685082787648725
ts,1,600,10,0.5,0,pess,0.2,2.0403241238148597
ts,1,600,10,0.5,0,pess,0.5,2.0385881432513893
ts,1,600,10,0.5,0,pess,1.0,2.0666563342843856
ts,1,600,10,0.5,0,pess,5.0,2.0593864728028457
ts,1,600,10,0.5,0,pess,10.0,2.067470227422312
ts,1,600,10,0.8,0,greedy,0.0,2.082599090805996
ts,1,600,10,0.8,0,pess,0.1,2.0811911321560657
ts,1,600,10,0.8,0,pess,0.2,2.1026700416647817
ts,1,600,10,0.8,0,pess,0.5,2.1066060784864447
