experiment,scenario,T,decay,rep,method,beta,value
tree,1,300,0.5,0,greedy,0.0,1.2945334160802477
tree,1,300,0.5,0,pess,0.0001,1.1877890327852638
tree,1,300,0.5,0,lin,0.0001,1.1405915111583684
tree,1,300,0.5,0,pess,0.001,1.3570388764451646
tree,1,300,0.5,0,lin,0.001,1.1405915111583684
tree,1,300,0.5,0,pess,0.01,1.2532752997007606
tree,1,300,0.5,0,lin,0.01,1.1409842763245996
tree,1,300,0.5,0,pess,0.1,1.1605653642833176
tree,1,300,0.5,0,lin,0.1,1.1434735850470956
tree,1,300,0.5,0,pess,0.2,1.302369708619024
tree,1,300,0.5,0,lin,0.2,1.1490074257171796
tree,1,300,0.5,0,pess,0.5,1.291283304378867
tree,1,300,0.5,0,lin,0.5,1.1612243157272746
tree,1,300,0.5,0,pess,1.0,1.178131842759582
tree,1,300,0.5,0,lin,1.0,1.1612243157272746
tree,1,300,0.5,0,pess,5.0,1.2481364981881045
tree,1,300,0.5,0,lin,5.0,1.1612243157272746
tree,1,300,0.5,0,pess,10.0,1.3032397667814362
tree,1,300,0.5,0,lin,10.0,1.1612243157272746
tree,1,300,pure,0,greedy,0.0,1.5081858513610311
tree,1,300,pure,0,pess,0.0001,1.5081858513610311
tree,1,300,pure,0,lin,0.0001,1.1612243157272746
tree,1,300,pure,0,pess,0.001,1.5081858513610311
tree,1,300,pure,0,lin,0.001,1.1612243157272746
tree,1,300,pure,0,pess,0.01,1.5081858513610311
tree,1,300,pure,0,lin,0.01,1.1612243157272746
tree,1,300,pure,0,pess,0.1,1.5083147887879131
tree,1,300,pure,0,lin,0.1,1.1612243157272746
tree,1,300,pure,0,pess,0.2,1.5081858513610311
tree,1,300,pure,0,lin,0.2,1.1612243157272746
tree,1,300,pure,0,pess,0.5,1.5083147887879131
tree,1,300,pure,0,lin,0.5,1.1612243157272746
tree,1,300,pure,0,pess,1.0,1.5081858513610311
tree,1,300,pure,0,lin,1.0,1.1612243157272746
tree,1,300,pure,0,pess,5.0,1.5081858513610311
tree,1,300,pure,0,lin,5.0,1.1612243157272746
tree,1,300,pure,0,pess,10.0,1.5070503599944118
tree,1,300,pure,0,lin,10.0,1.1612243157272746
tree,1,600,0.5,0,greedy,0.0,1.359911402262669
tree,1,600,0.5,0,pess,0.0001,1.3514463226547555
tree,1,600,0.5,0,lin,0.0001,1.1150185588550294
tree,1,600,0.5,0,pess,0.001,1.3582922955586367
tree,1,600,0.5,0,lin,0.001,1.1150185588550294
tree,1,600,0.5,0,pess,0.01,1.3575701687079282
tree,1,600,0.5,0,lin,0.01,1.1150185588550294
tree,1,600,0.5,0,pess,0.1,1.3380404768809102
tree,1,600,0.5,0,lin,0.1,1.1150185588550294
tree,1,600,0.5,0,pess,0.2,1.3350022181673566
tree,1,600,0.5,0,lin,0.2,1.1150185588550294
tree,1,600,0.5,0,pess,0.5,1.3463321539978286
tree,1,600,0.5,0,lin,0.5,1.1150185588550294
tree,1,600,0.5,0,pess,1.0,1.3297800795966828
tree,1,600,0.5,0,lin,1.0,1.1150185588550294
tree,1,600,0.5,0,pess,5.0,1.3372556410730816
tree,1,600,0.5,0,lin,5.0,1.1150185588550294
tree,1,600,0.5,0,pess,10.0,1.3529058749010154
tree,1,600,0.5,0,lin,10.0,1.1150185588550294
tree,1,600,pure,0,greedy,0.0,1.4800579716004878
tree,1,600,pure,0,pess,0.0001,1.4810101264053197
tree,1,600,pure,0,lin,0.0001,1.1150185588550294
tree,1,600,pure,0,pess,0.001,1.480405721202627
tree,1,600,pure,0,lin,0.001,1.1150185588550294
tree,1,600,pure,0,pess,0.01,1.4808714339316151
tree,1,600,pure,0,lin,0.01,1.1150185588550294
tree,1,600,pure,0,pess,0.1,1.4810082590892877
tree,1,600,pure,0,lin,0.1,1.1150185588550294
tree,1,600,pure,0,pess,0.2,1.4811208175517732
tree,1,600,pure,0,lin,0.2,1.1150185588550294
tree,1,600,pure,0,pess,0.5,1.4811208175517732
tree,1,600,pure,0,lin,0.5,1.1150185588550294
tree,1,600,pure,0,pess,1.0,1.4810082590892877
tree,1,600,pure,0,lin,1.0,1.1150185588550294
tree,1,600,pure,0,pess,5.0,1.4810101264053197
tree,1,600,pure,0,lin,5.0,1.1150185588550294
tree,1,600,pure,0,pess,10.0,1.4802229193239496
tree,1,600,pure,0,lin,10.0,1.1150185588550294
tree,2,300,0.5,0,greedy,0.0,1.0938718420300666
tree,2,300,0.5,0,pess,0.0001,1.1354908265978487
tree,2,300,0.5,0,lin,0.0001,1.0082469410698076
tree,2,300,0.5,0,pess,0.001,1.1287355615120962
tree,2,300,0.5,0,lin,0.001,1.0082469410698076
tree,2,300,0.5,0,pess,0.01,1.1362389248935396
tree,2,300,0.5,0,lin,0.01,1.0086031927423198
tree,2,300,0.5,0,pess,0.1,1.1392478457422863
tree,2,300,0.5,0,lin,0.1,1.0143114084387332
tree,2,300,0.5,0,pess,0.2,1.1377310745470965
tree,2,300,0.5,0,lin,0.2,1.0266922117558752
tree,2,300,0.5,0,pess,0.5,1.1385267234754255
tree,2,300,0.5,0,lin,0.5,1.0995547603871159
tree,2,300,0.5,0,pess,1.0,1.1362386784950669
tree,2,300,0.5,0,lin,1.0,1.1251527006745128
tree,2,300,0.5,0,pess,5.0,1.1425540214935728
tree,2,300,0.5,0,lin,5.0,1.087830248786403
tree,2,300,0.5,0,pess,10.0,1.1300064475013445
tree,2,300,0.5,0,lin,10.0,1.087830248786403
tree,2,300,pure,0,greedy,0.0,1.264514894671024
tree,2,300,pure,0,pess,0.0001,1.2653274239171342
tree,2,300,pure,0,lin,0.0001,0.7808805726756973
tree,2,300,pure,0,pess,0.001,1.2653274239171342
tree,2,300,pure,0,lin,0.001,0.7808805726756973
tree,2,300,pure,0,pess,0.01,1.2658942642379103
tree,2,300,pure,0,lin,0.01,0.7809690643698372
tree,2,300,pure,0,pess,0.1,1.2652348735826222
tree,2,300,pure,0,lin,0.1,0.7819476288184424
tree,2,300,pure,0,pess,0.2,1.2653274239171342
tree,2,300,pure,0,lin,0.2,0.7847610979677075
tree,2,300,pure,0,pess,0.5,1.265619457187155
tree,2,300,pure,0,lin,0.5,0.8119218865363728
tree,2,300,pure,0,pess,1.0,1.2653274239171342
tree,2,300,pure,0,lin,1.0,0.9833882026215263
tree,2,300,pure,0,pess,5.0,1.26665872667548
tree,2,300,pure,0,lin,5.0,1.158094447815526
tree,2,300,pure,0,pess,10.0,1.266566176340968
tree,2,300,pure,0,lin,10.0,1.158094447815526
tree,2,600,0.5,0,greedy,0.0,1.2193736567561608
tree,2,600,0.5,0,pess,0.0001,1.19991447139552
tree,2,600,0.5,0,lin,0.0001,1.1604655446771746
tree,2,600,0.5,0,pess,0.001,1.2143647192646754
tree,2,600,0.5,0,lin,0.001,1.1604655446771746
tree,2,600,0.5,0,pess,0.01,1.2159277474292602
tree,2,600,0.5,0,lin,0.01,1.1604655446771746
tree,2,600,0.5,0,pess,0.1,1.224549569845033
tree,2,600,0.5,0,lin,0.1,1.1605758097092531
tree,2,600,0.5,0,pess,0.2,1.2240551112303546
tree,2,600,0.5,0,lin,0.2,1.1607957617194435
tree,2,600,0.5,0,pess,0.5,1.2167944698110855
tree,2,600,0.5,0,lin,0.5,1.1618898365146537
tree,2,600,0.5,0,pess,1.0,1.2158240725312661
tree,2,600,0.5,0,lin,1.0,1.162754507037278
tree,2,600,0.5,0,pess,5.0,1.2240020765218027
tree,2,600,0.5,0,lin,5.0,1.1696251259928416
tree,2,600,0.5,0,pess,10.0,1.223232999729475
tree,2,600,0.5,0,lin,10.0,1.173057715996859
tree,2,600,pure,0,greedy,0.0,1.3466854076364243
tree,2,600,pure,0,pess,0.0001,1.3280852816864381
tree,2,600,pure,0,lin,0.0001,1.1788172576220703
tree,2,600,pure,0,pess,0.001,1.3289021965123542
tree,2,600,pure,0,lin,0.001,1.1788172576220703
tree,2,600,pure,0,pess,0.01,1.329281673198992
tree,2,600,pure,0,lin,0.01,1.1788172576220703
tree,2,600,pure,0,pess,0.1,1.3486748759961655
tree,2,600,pure,0,lin,0.1,1.1788172576220703
tree,2,600,pure,0,pess,0.2,1.327236090518133
tree,2,600,pure,0,lin,0.2,1.1788172576220703
tree,2,600,pure,0,pess,0.5,1.3272972376435253
tree,2,600,pure,0,lin,0.5,1.1788172576220703
tree,2,600,pure,0,pess,1.0,1.3287549119041828
tree,2,600,pure,0,lin,1.0,1.1788172576220703
tree,2,600,pure,0,pess,5.0,1.330217747246538
tree,2,600,pure,0,lin,5.0,1.1461508139356738
tree,2,600,pure,0,pess,10.0,1.328541603480468
tree,2,600,pure,0,lin,10.0,1.1390800892616102
tree,3,300,0.5,0,greedy,0.0,1.0028621653050651
tree,3,300,0.5,0,pess,0.0001,0.9990482426258984
tree,3,300,0.5,0,lin,0.0001,1.0598656947608793
tree,3,300,0.5,0,pess,0.001,0.9997213750598557
tree,3,300,0.5,0,lin,0.001,1.0598656947608793
tree,3,300,0.5,0,pess,0.01,0.9922161358029821
tree,3,300,0.5,0,lin,0.01,1.0598656947608793
tree,3,300,0.5,0,pess,0.1,0.9922161358029821
tree,3,300,0.5,0,lin,0.1,1.0598401942094962
tree,3,300,0.5,0,pess,0.2,0.9924505159841074
tree,3,300,0.5,0,lin,0.2,1.0598021589523374
tree,3,300,0.5,0,pess,0.5,0.9924327479290121
tree,3,300,0.5,0,lin,0.5,1.0513961230640763
tree,3,300,0.5,0,pess,1.0,0.9925236256435149
tree,3,300,0.5,0,lin,1.0,0.9661180208346019
tree,3,300,0.5,0,pess,5.0,0.9913201679662359
tree,3,300,0.5,0,lin,5.0,0.9699363015007743
tree,3,300,0.5,0,pess,10.0,0.9922339038580774
tree,3,300,0.5,0,lin,10.0,0.9337881763610737
tree,3,300,pure,0,greedy,0.0,0.8992200987224528
tree,3,300,pure,0,pess,0.0001,0.8855696722638439
tree,3,300,pure,0,lin,0.0001,1.0799038244428179
tree,3,300,pure,0,pess,0.001,0.8859294725623299
tree,3,300,pure,0,lin,0.001,1.0799038244428179
tree,3,300,pure,0,pess,0.01,0.8859294725623299
tree,3,300,pure,0,lin,0.01,1.0795914635231116
tree,3,300,pure,0,pess,0.1,0.8859294725623299
tree,3,300,pure,0,lin,0.1,1.0723624217780146
tree,3,300,pure,0,pess,0.2,0.8858966564764421
tree,3,300,pure,0,lin,0.2,1.0603740341909078
tree,3,300,pure,0,pess,0.5,0.8843328796780426
tree,3,300,pure,0,lin,0.5,0.9846582389087344
tree,3,300,pure,0,pess,1.0,0.8859294725623299
tree,3,300,pure,0,lin,1.0,0.9482877882539342
tree,3,300,pure,0,pess,5.0,0.8874355094281254
tree,3,300,pure,0,lin,5.0,0.9628118333904713
tree,3,300,pure,0,pess,10.0,0.8844313975781383
tree,3,300,pure,0,lin,10.0,0.9568705806211114
tree,3,600,0.5,0,greedy,0.0,1.1005779253156542
tree,3,600,0.5,0,pess,0.0001,1.1099106753032055
tree,3,600,0.5,0,lin,0.0001,1.033874280036317
tree,3,600,0.5,0,pess,0.001,1.1087747169783606
tree,3,600,0.5,0,lin,0.001,1.033874280036317
tree,3,600,0.5,0,pess,0.01,1.0934674231404602
tree,3,600,0.5,0,lin,0.01,1.0333295475225974
tree,3,600,0.5,0,pess,0.1,1.11902439664748
tree,3,600,0.5,0,lin,0.1,1.016388228513833
tree,3,600,0.5,0,pess,0.2,1.1021450151722467
tree,3,600,0.5,0,lin,0.2,1.016388228513833
tree,3,600,0.5,0,pess,0.5,1.0956647116239628
tree,3,600,0.5,0,lin,0.5,0.9956519049604231
tree,3,600,0.5,0,pess,1.0,1.095515448583409
tree,3,600,0.5,0,lin,1.0,0.9502398737747451
tree,3,600,0.5,0,pess,5.0,1.0971454990563747
tree,3,600,0.5,0,lin,5.0,0.8988523799255808
tree,3,600,0.5,0,pess,10.0,1.0931387999058477
tree,3,600,0.5,0,lin,10.0,0.8990288705846425
tree,3,600,pure,0,greedy,0.0,0.8807555804457657
tree,3,600,pure,0,pess,0.0001,0.870519072856509
tree,3,600,pure,0,lin,0.0001,0.9876271912768055
tree,3,600,pure,0,pess,0.001,0.8699603557724991
tree,3,600,pure,0,lin,0.001,0.9876271912768055
tree,3,600,pure,0,pess,0.01,0.8715604521382911
tree,3,600,pure,0,lin,0.01,0.9876957758687581
tree,3,600,pure,0,pess,0.1,0.8699603557724991
tree,3,600,pure,0,lin,0.1,0.988345605073785
tree,3,600,pure,0,pess,0.2,0.870519072856509
tree,3,600,pure,0,lin,0.2,0.9890560471714188
tree,3,600,pure,0,pess,0.5,0.8715604521382911
tree,3,600,pure,0,lin,0.5,0.9719358311573624
tree,3,600,pure,0,pess,1.0,0.8711274689086945
tree,3,600,pure,0,lin,1.0,0.9562048450022291
tree,3,600,pure,0,pess,5.0,0.8618850942363712
tree,3,600,pure,0,lin,5.0,0.9382866665440985
tree,3,600,pure,0,pess,10.0,0.8618850942363712
tree,3,600,pure,0,lin,10.0,0.9469707394454224
