experiment,setting,T,batch_size,floor,rep,method,beta,value
ts,2,300,10,pure,0,greedy,0.0,1.1788399831839746
ts_cv,2,300,10,pure,0,CV_pess,0.1,1.2115964901659158
ts,2,300,10,0.2,0,greedy,0.0,1.1792039313314713
ts_cv,2,300,10,0.2,0,CV_pess,1.0,1.1917104321258343
ts,2,300,10,0.5,0,greedy,0.0,1.3458938685891626
ts_cv,2,300,10,0.5,0,CV_pess,0.1,1.3481015527583022
ts,2,300,10,0.8,0,greedy,0.0,1.1203996351981527
ts_cv,2,300,10,0.8,0,CV_pess,0.2,1.126002869818819
ts,2,600,10,pure,0,greedy,0.0,1.3051644821417479
ts_cv,2,600,10,pure,0,CV_pess,5.0,1.3966253895426057
ts,2,600,10,0.2,0,greedy,0.0,1.3097333219992737
ts_cv,2,600,10,0.2,0,CV_pess,5.0,1.2863715217829645
ts,2,600,10,0.5,0,greedy,0.0,1.2837679516490759
ts_cv,2,600,10,0.5,0,CV_pess,1.0,1.30161799804081
ts,2,600,10,0.8,0,greedy,0.0,1.335871509814533
ts_cv,2,600,10,0.8,0,CV_pess,0.5,1.346858026103815
