experiment,setting,T,batch_size,floor,rep,method,beta,value
ts,1,300,10,pure,0,greedy,0.0,1.340968357993528
ts,1,300,10,pure,0,pess,0.1,1.4173016913268617
ts,1,300,10,pure,0,pess,0.2,1.4334128024379724
ts,1,300,10,pure,0,pess,0.5,1.427968357993528
ts,1,300,10,pure,0,pess,1.0,1.427746135771306
ts,1,300,10,pure,0,pess,5.0,1.4330794691046393
ts,1,300,10,pure,0,pess,10.0,1.4331905802157505
ts,1,300,10,0.2,0,greedy,0.0,1.0406350246601948
ts,1,300,10,0.2,0,pess,0.1,1.0505239135490838
ts,1,300,10,0.2,0,pess,0.2,1.0663016913268617
ts,1,300,10,0.2,0,pess,0.5,1.0676350246601947
ts,1,300,10,0.2,0,pess,1.0,1.0631905802157502
ts,1,300,10,0.2,0,pess,5.0,1.0681905802157503
ts,1,300,10,0.2,0,pess,10.0,1.059857246882417
ts,1,300,10,0.5,0,greedy,0.0,1.2215239135490839
ts,1,300,10,0.5,0,pess,0.1,1.238635024660195
ts,1,300,10,0.5,0,pess,0.2,1.2410794691046392
ts,1,300,10,0.5,0,pess,0.5,1.2450794691046394
ts,1,300,10,0.5,0,pess,1.0,1.2450794691046394
ts,1,300,10,0.5,0,pess,5.0,1.2450794691046394
ts,1,300,10,0.5,0,pess,10.0,1.2450794691046394
ts,1,300,10,0.8,0,greedy,0.0,1.3840794691046394
ts,1,300,10,0.8,0,pess,0.1,1.3833016913268616
ts,1,300,10,0.8,0,pess,0.2,1.3833016913268616
ts,1,300,10,0.8,0,pess,0.5,1.3833016913268616
ts,1,300,10,0.8,0,pess,1.0,1.4033016913268617
ts,1,300,10,0.8,0,pess,5.0,1.3805239135490839
ts,1,300,10,0.8,0,pess,10.0,1.3828572468824172
ts,1,300,100,pure,0,greedy,0.0,1.3390794691046393
ts,1,300,100,pure,0,pess,0.1,1.405746135771306
ts,1,300,100,pure,0,pess,0.2,1.4123016913268616
ts,1,300,100,pure,0,pess,0.5,1.4125239135490837
ts,1,300,100,pure,0,pess,1.0,1.4134128024379724
ts,1,300,100,pure,0,pess,5.0,1.4120794691046392
ts,1,300,100,pure,0,pess,10.0,1.4143016913268616
ts,1,300,100,0.2,0,greedy,0.0,1.2261905802157502
ts,1,300,100,0.2,0,pess,0.1,1.2280794691046395
ts,1,300,100,0.2,0,pess,0.2,1.231968357993528
ts,1,300,100,0.2,0,pess,0.5,1.231746135771306
ts,1,300,100,0.2,0,pess,1.0,1.2288572468824173
ts,1,300,100,0.2,0,pess,5.0,1.2296350246601948
ts,1,300,100,0.2,0,pess,10.0,1.2065239135490837
ts,1,300,100,0.5,0,greedy,0.0,1.1664128024379725
ts,1,300,100,0.5,0,pess,0.1,1.1791905802157503
ts,1,300,100,0.5,0,pess,0.2,1.1769683579935282
ts,1,300,100,0.5,0,pess,0.5,1.1758572468824169
ts,1,300,100,0.5,0,pess,1.0,1.1765239135490837
ts,1,300,100,0.5,0,pess,5.0,1.1769683579935282
ts,1,300,100,0.5,0,pess,10.0,1.175746135771306
ts,1,300,100,0.8,0,greedy,0.0,1.265746135771306
ts,1,300,100,0.8,0,pess,0.1,1.2290794691046392
ts,1,300,100,0.8,0,pess,0.2,1.2295239135490839
ts,1,300,100,0.8,0,pess,0.5,1.2644128024379724
ts,1,300,100,0.8,0,pess,1.0,1.2360794691046395
ts,1,300,100,0.8,0,pess,5.0,1.2321905802157502
ts,1,300,100,0.8,0,pess,10.0,1.2321905802157502
ts,1,600,10,pure,0,greedy,0.0,1.4692577247056915
ts,1,600,10,pure,0,pess,0.1,1.4892577247056913
ts,1,600,10,pure,0,pess,0.2,1.487813280261247
ts,1,600,10,pure,0,pess,0.5,1.4890355024834692
ts,1,600,10,pure,0,pess,1.0,1.494035502483469
ts,1,600,10,pure,0,pess,5.0,1.488813280261247
ts,1,600,10,pure,0,pess,10.0,1.487813280261247
ts,1,600,10,0.2,0,greedy,0.0,1.2187021691501359
ts,1,600,10,0.2,0,pess,0.1,1.222813280261247
ts,1,600,10,0.2,0,pess,0.2,1.2352577247056915
ts,1,600,10,0.2,0,pess,0.5,1.2231466135945803
