index,name,status,dataset_id,openml_name,target,n_rows,n_features,n_labels,seconds,error
0,waveform-5000,ok,60,waveform-5000,class,5000,40,5000,6.91,
1,Long,ok,42636,Long,y,4477,19,4477,5.56,
2,cmc,ok,23,cmc,Contraceptive_method_used,1473,9,1473,4.32,
3,artificial-characters,ok,1459,artificial-characters,Class,10218,7,10218,5.02,
4,Click_prediction_small,ok,1216,Click_prediction_small,click,1496391,9,1496391,13.09,
5,allrep,ok,40708,allrep,class,3772,29,3772,5.66,
6,mfeat-morphological,ok,18,mfeat-morphological,class,2000,6,2000,5.02,
7,satellite_image,ok,294,satellite_image,class,6435,36,6435,5.35,
8,jungle_chess_2pcs_endgame_elephant_elephant,ok,40999,jungle_chess_2pcs_endgame_elephant_elephant,class,2351,46,2351,4.5,
9,wilt,ok,40983,wilt,class,4839,5,4839,5.12,
10,Satellite,ok,40900,Satellite,Target,5100,36,5100,5.0,
11,ringnorm,ok,1496,ringnorm,Class,7400,20,7400,5.12,
12,mammography,ok,310,mammography,class,11183,6,11183,4.91,
13,delta_ailerons,ok,803,delta_ailerons,binaryClass,7129,5,7129,4.7,
14,PhishingWebsites,ok,4534,PhishingWebsites,Result,11055,30,11055,4.73,
15,splice,ok,46,splice,Class,3190,60,3190,5.33,
16,pendigits,ok,32,pendigits,class,10992,16,10992,4.86,
17,texture,ok,40499,texture,Class,5500,40,5500,5.69,
18,cardiotocography,ok,1466,cardiotocography,Class,2126,35,2126,5.5,
19,volcanoes-d4,ok,1541,volcanoes-d4,Class,8654,3,8654,4.88,
20,volcanoes-b3,ok,1533,volcanoes-b3,Class,10386,3,10386,5.16,
21,dis,ok,40713,dis,class,3772,29,3772,4.74,
22,optdigits,ok,28,optdigits,class,5620,64,5620,5.11,
23,electricity,ok,151,electricity,class,45312,8,45312,5.08,
24,kr-vs-kp,ok,3,kr-vs-kp,class,3196,36,3196,5.35,
25,bank-marketing,ok,1461,bank-marketing,Class,45211,16,45211,5.23,
26,satimage,ok,182,satimage,class,6430,36,6430,5.52,
27,MagicTelescope,ok,1120,MagicTelescope,class:,19020,10,19020,5.58,
28,houses,ok,537,houses,median_house_value,20640,8,20640,5.28,
29,eeg-eye-state,ok,1471,eeg-eye-state,Class,14980,14,14980,5.34,
30,car,ok,991,car,binaryClass,1728,6,1728,4.4,
31,segment,ok,36,segment,class,2310,19,2310,4.91,
